event_id,source,title,url,publish_time,author,content,heat
18,央视网,【路见西藏】沿着川藏线 冬游西藏吧！,https://news.cctv.com/2024/10/26/ARTIxk6HOFAfhB5ZklkSYBen241026.shtml,2024-10-26 18:24:45,央视网,在川藏公路上绝美的自然景观雪山湖泊河流还有独具特色的藏式民居每一处景致散发着高原独特的魅力,15000.0
19,央视网,文旅在西部｜高原文旅为西藏发展注入新动力,https://news.cctv.com/2024/10/26/ARTIICVwJiaIdLrPOuNJip5Q241026.shtml,2024-10-26 18:24:28,央视网,当第一缕阳光洒在雪山顶上金色的光芒仿佛在诉说着西藏古老的故事而如今这个故事因为文旅的发展增添了更多绚丽多彩的篇章,15000.0
20,央视网,【众行致远】习言道｜“全球南方”群体性崛起，是世界大变局的鲜明标志,https://news.cctv.com/2024/10/26/ARTIRTTgZ4XgaljWz5Kv3V3o241026.shtml,2024-10-26 18:24:02,央视网,当地时间10月24日国家主席习近平在喀山会展中心出席金砖领导人对话会并发表重要讲话,15000.0
21,央视网,记者手记｜在喀山，见证“大金砖合作启幕”,https://news.cctv.com/2024/10/26/ARTIPiQtY6UWyJDFGzHLBBIH241026.shtml,2024-10-26 18:23:48,央视网,深秋的东欧平原伏尔加河蜿蜒流淌青山环抱流水汤汤喀山迎来远方贵客万里茶道上的千年古城铭记新朋老友齐聚一堂的难忘时刻,15000.0
22,央视网,新疆库车市发生5.5级地震，中国地震局启动四级应急服务响应,https://news.cctv.com/2024/10/26/ARTIT2DMAZf5fo4GnCjI4Z17241026.shtml,2024-10-26 18:12:14,央视网,地震发生后中国地震局迅速启动四级应急服务响应中国地震局负责同志在应急指挥中心与中国地震台网中心新疆维吾尔自治区地震局进行视频连线听取震情汇报部署应急处置工作要求有关单位加强震情监测和震后趋势研判及时报告有关情况,15000.0
23,央视网,习近平向莫桑比克当选总统查波致贺电,https://news.cctv.com/2024/10/26/ARTI2Opy4sPXPWrlHln4Eugd241026.shtml,2024-10-26 17:48:24,央视网,10月26日国家主席习近平致电丹尼尔弗朗西斯科查波祝贺他当选莫桑比克共和国总统,15000.0
24,央视网,万鸟翔集绘就大自然绝美“水墨丹青”图 共同守护生态之美,https://news.cctv.com/2024/10/26/ARTIYcTdjhn0qSGqeg0RgjrA241026.shtml,2024-10-26 17:40:50,央视网,青海是我国黑颈鹤的重要繁殖地之一黑颈鹤是国家一级保护野生动物也是唯一一种在高原上繁殖和生活的鹤类每年10月中下旬起大批黑颈鹤会从青海各地启程南飞开启越冬之旅,15000.0
25,央视网,甜桃喜丰收 鱼跃秋捕忙 青山绿水间唱响丰收“欢歌”,https://news.cctv.com/2024/10/26/ARTIMdPDtmduOUgr2BH3t6Sa241026.shtml,2024-10-26 17:26:45,央视网,眼下在山东莱西市2万多亩冬桃迎来丰收正陆续采摘上市冬桃新鲜脆甜深受市场欢迎,15000.0
26,央视网,中国“神箭”即将启程 全系统合练为成功发射“保驾护航”,https://news.cctv.com/2024/10/26/ARTI78JInWCOEB0doOZYy5z7241026.shtml,2024-10-26 16:52:39,央视网,神舟十九号船箭组合体已于本月22日转运至发射区计划将于近日择机发射10月26日发射场区组织各单位展开全系统合练检验各系统在发射流程当中的可靠性和安全性,15000.0
27,央视网,新疆阿克苏地区库车市发生5.5级地震，震源深度10千米,https://news.cctv.com/2024/10/26/ARTIFzNPmyC727TlyEDBMS7Z241026.shtml,2024-10-26 16:47:38,央视网,中国地震台网正式测定10月26日16时35分在新疆阿克苏地区库车市北纬4098度东经8393度发生55级地震震源深度10千米,15000.0
28,央视网,持续用力、更加给力、形成合力 政策“组合拳”推动房地产市场回稳,https://news.cctv.com/2024/10/26/ARTIfgBJvvTcWnyTkU8ismyJ241026.shtml,2024-10-26 16:30:26,央视网,一个月前从9月24日开始五场重磅新闻发布会密集召开多部门推出一揽子增量政策主打组合拳拼经济从10月25日起总台财经节目中心推出系列报道增量落地在一线看各地如何持续用力更加给力形成合力让这一揽子增量政策效能得到最大发挥第一期来关注房地产市场,15000.0
